"DV","IV","Test","Stat","Param","pval","NF","NN","Level1","Stat1F","Stat1N","Level2","Stat2F","Stat2N"
"STOP_E1","NEAR_FAR","Fisher",2.08489115881532,NA,0.0721835121743352,1656,588,"FALSE",0.990942028985507,0.981292517006803,"TRUE",0.00905797101449275,0.0187074829931973
"STOP_E2","NEAR_FAR","Fisher",0.208416669739142,NA,7.6709078907564e-16,1656,588,"FALSE",0.849033816425121,0.964285714285714,"TRUE",0.150966183574879,0.0357142857142857
"STOP_E3","NEAR_FAR","Fisher",6.50730993201467,NA,1.87930604151983e-25,1656,588,"FALSE",0.971618357487923,0.840136054421769,"TRUE",0.0283816425120773,0.159863945578231
"STOP_E4","NEAR_FAR","Fisher",1.23403729328966,NA,0.209170788988868,1656,588,"FALSE",0.914251207729469,0.896258503401361,"TRUE",0.0857487922705314,0.103741496598639
"STOP_E5","NEAR_FAR","Fisher",2.61046966415667,NA,0.0287564114066693,1656,588,"FALSE",0.992753623188406,0.981292517006803,"TRUE",0.0072463768115942,0.0187074829931973
"STOP_E6","NEAR_FAR","Fisher",8.51531686459631,NA,0.00537928388707537,1656,588,"FALSE",0.998792270531401,0.989795918367347,"TRUE",0.00120772946859903,0.0102040816326531
"STOP_E1_N_VEH","NEAR_FAR","t",-2.25097940577137,664.556759407686,0.0247128552130463,1656,588,NA,NA,NA,NA,0.0132850241545894,0.054421768707483
"STOP_E2_N_VEH","NEAR_FAR","t",6.4473497337519,1635.9304217575,1.49415490986156e-10,1656,588,NA,NA,NA,NA,0.348429951690821,0.0986394557823129
"STOP_E3_N_VEH","NEAR_FAR","t",-7.08475900724557,627.280300435337,3.75492803427798e-12,1656,588,NA,NA,NA,NA,0.0440821256038647,0.335034013605442
"STOP_E4_N_VEH","NEAR_FAR","t",0.649870398881099,1337.39802960493,0.515887544479593,1656,588,NA,NA,NA,NA,0.181763285024155,0.163265306122449
"PER_CROSS","NEAR_FAR","Fisher",0.868856991202654,NA,0.767479015291194,1275,393,"Intersection",0.95921568627451,0.964376590330789,"Mid-block",0.0407843137254902,0.0356234096692112
"PER_BEH_OUTSIDE","NEAR_FAR","Fisher",1.26089954689315,NA,0.395187613298936,1275,393,"FALSE",0.95921568627451,0.94910941475827,"TRUE",0.0407843137254902,0.0508905852417303
"PER_BEH_CHNGSPD","NEAR_FAR","Fisher",0.727866602859578,NA,0.56340525296122,1275,393,"FALSE",0.975686274509804,0.982188295165394,"TRUE",0.0243137254901961,0.0178117048346056
"PER_BEH_PAUSMID","NEAR_FAR","Fisher",1.01400610736731,NA,1,1275,393,"FALSE",0.987450980392157,0.987277353689567,"TRUE",0.0125490196078431,0.0127226463104326
"PER_BEH_DISTRAC","NEAR_FAR","Fisher",1.3931055698058,NA,0.708126391198395,1275,393,"FALSE",0.994509803921569,0.99236641221374,"TRUE",0.00549019607843137,0.00763358778625954
"PER_BEH_CRFRONT","NEAR_FAR","Fisher",16.3826210930224,NA,0.00344152661713665,1275,393,"FALSE",0.99921568627451,0.987277353689567,"TRUE",0.000784313725490196,0.0127226463104326
"PER_BEH_CRBEHIN","NEAR_FAR","Fisher",0.460920340442909,NA,0.386611412022284,1275,393,"FALSE",0.989019607843137,0.994910941475827,"TRUE",0.0109803921568627,0.00508905852417303
"CONF_SEV","NEAR_FAR","t",-1.9744950328693,54.9309798896327,0.0533613252035529,51,27,NA,NA,NA,NA,1.68627450980392,2.11111111111111
"VEH_REACT2","NEAR_FAR","Fisher",2.07688229892937,NA,0.162739983806988,55,31,"None",0.690909090909091,0.516129032258065,"Other",0.309090909090909,0.483870967741935
"PED_REACT2","NEAR_FAR","Fisher",0.524862736501488,NA,0.176668225052979,56,31,"None",0.357142857142857,0.516129032258065,"Other",0.642857142857143,0.483870967741935
